,lon,lat,Id,ltype,points,Y,X,Type,Name,Source,x_pixel,y_pixel,elev
18,98.275124757795,17.27951411026405,2,1321,"96.657897693356162,18.930363358994743 96.950410696695414,18.688283632093299 97.202577078884417,18.459652778908598 97.384136874060502,18.257919673157396 97.582507761382516,17.988942198822453 97.727083153837555,17.780484656212877 97.871658546292579,17.635909263757846 98.039769467751924,17.467798342298508 98.275124757794998,17.279514110264049 98.443235679254329,17.161836465242516 98.675228750868214,16.970190014778868",17.9159253062,97.6331485095,right slip,,,8946.029952661193,787.0833895355325,359
19,98.44323567925433,17.161836465242516,2,1321,"96.657897693356162,18.930363358994743 96.950410696695414,18.688283632093299 97.202577078884417,18.459652778908598 97.384136874060502,18.257919673157396 97.582507761382516,17.988942198822453 97.727083153837555,17.780484656212877 97.871658546292579,17.635909263757846 98.039769467751924,17.467798342298508 98.275124757794998,17.279514110264049 98.443235679254329,17.161836465242516 98.675228750868214,16.970190014778868",17.9159253062,97.6331485095,right slip,,,8986.376573817886,758.8407547258456,751
20,98.67522875086821,16.97019001477887,2,1321,"96.657897693356162,18.930363358994743 96.950410696695414,18.688283632093299 97.202577078884417,18.459652778908598 97.384136874060502,18.257919673157396 97.582507761382516,17.988942198822453 97.727083153837555,17.780484656212877 97.871658546292579,17.635909263757846 98.039769467751924,17.467798342298508 98.275124757794998,17.279514110264049 98.443235679254329,17.161836465242516 98.675228750868214,16.970190014778868",17.9159253062,97.6331485095,right slip,,,9042.054911014127,712.845606607211,640
21,98.2482270103615,17.360207352564533,3,1321,"98.248227010361504,17.360207352564533 98.490306737262941,17.19545864953438 98.729024245735204,17.084505441371221 99.034986122791196,16.818890185465467 99.327499126130448,16.546550492701339 99.428365679006049,16.385164008100375",16.9405808412,98.8948108105,right slip,,,8939.57449327612,806.4497676907472,812
22,98.49030673726294,17.19545864953438,3,1321,"98.248227010361504,17.360207352564533 98.490306737262941,17.19545864953438 98.729024245735204,17.084505441371221 99.034986122791196,16.818890185465467 99.327499126130448,16.546550492701339 99.428365679006049,16.385164008100375",16.9405808412,98.8948108105,right slip,,,8997.67362774176,766.9100789571843,880
23,98.7290242457352,17.08450544137122,3,1321,"98.248227010361504,17.360207352564533 98.490306737262941,17.19545864953438 98.729024245735204,17.084505441371221 99.034986122791196,16.818890185465467 99.327499126130448,16.546550492701339 99.428365679006049,16.385164008100375",16.9405808412,98.8948108105,right slip,,,9054.96582978427,740.2813089937653,432
24,99.0349861227912,16.818890185465467,3,1321,"98.248227010361504,17.360207352564533 98.490306737262941,17.19545864953438 98.729024245735204,17.084505441371221 99.034986122791196,16.818890185465467 99.327499126130448,16.546550492701339 99.428365679006049,16.385164008100375",16.9405808412,98.8948108105,right slip,,,9128.396680289457,676.5336475661848,206
25,99.32749912613045,16.54655049270134,3,1321,"98.248227010361504,17.360207352564533 98.490306737262941,17.19545864953438 98.729024245735204,17.084505441371221 99.034986122791196,16.818890185465467 99.327499126130448,16.546550492701339 99.428365679006049,16.385164008100375",16.9405808412,98.8948108105,right slip,,,9198.599801102111,611.1721212923362,292
26,99.42836567900605,16.385164008100375,3,1321,"98.248227010361504,17.360207352564533 98.490306737262941,17.19545864953438 98.729024245735204,17.084505441371221 99.034986122791196,16.818890185465467 99.327499126130448,16.546550492701339 99.428365679006049,16.385164008100375",16.9405808412,98.8948108105,right slip,,,9222.807773796128,572.4393649819077,113
27,73.83382012579224,38.12948575005296,4,1321,"73.833820125792244,38.129485750052957 73.950280440821501,38.047599591048012 74.021248445292443,37.958434662353746 74.168643531501331,37.845613732169163 74.310579540443229,37.760088188319557 74.407023238826824,37.709136800494264 74.565336479569709,37.625430949066988 74.650862023419322,37.581758330931024 74.730928490001929,37.525347865838732 74.827372188385525,37.481675247702761 74.943832503414768,37.432543552299798 75.034817124531372,37.412526935654142",0.0,0.0,rightslip,,,3080.1168400419847,5791.076583885509,3699
