,Id,lon,lat,X,Y,Type,ltype,Name,Source,x_pixel,y_pixel,elev
95,7,100.41893878934029,37.649434042495216,100.734981725,37.0645059461,strike-slip,1311,,,9460.545320314384,5675.864174053217,3793
96,7,100.56333886791913,37.445575108030965,100.734981725,37.0645059461,strike-slip,1311,,,9495.20133917885,5626.938029773969,4127
97,7,100.64828009061257,37.2587044181054,100.734981725,37.0645059461,strike-slip,1311,,,9515.587232628539,5582.089064184658,3414
98,7,100.71623306876732,37.09731609498787,100.734981725,37.0645059461,strike-slip,1311,,,9531.895947388288,5543.355866630252,3461
99,7,100.81816253599945,36.91893952733165,100.734981725,37.0645059461,strike-slip,1311,,,9556.359019527912,5500.545490385911,3567
100,7,101.04750383727173,36.74056295967543,100.734981725,37.0645059461,strike-slip,1311,,,9611.400931842067,5457.7351141415675,3012
101,7,101.1579274267732,36.562186392019214,100.734981725,37.0645059461,strike-slip,1311,,,9637.90259332666,5414.924737897227,3201
102,8,101.01352734819436,36.39230394663233,101.283687082,35.9770027397,strike-slip,1311,,,9603.246574462193,5374.152950997851,3310
103,8,101.1749156713119,36.12049203401333,101.283687082,35.9770027397,strike-slip,1311,,,9641.979772016599,5308.918091958853,2540
104,8,101.25136277173598,36.018562566781206,101.283687082,35.9770027397,strike-slip,1311,,,9660.327076121315,5284.455019819229,2992
105,8,101.3108216276214,35.942115466357116,101.283687082,35.9770027397,strike-slip,1311,,,9674.597201536097,5266.107715714512,2515
106,8,101.35329223896811,35.77223302097024,101.283687082,35.9770027397,strike-slip,1311,,,9684.79014826094,5225.335928815139,2949
107,8,101.38726872804548,35.64482118693008,101.283687082,35.9770027397,strike-slip,1311,,,9692.944505640815,5194.757088640607,3203
108,8,101.43823346166154,35.57686820877533,101.283687082,35.9770027397,strike-slip,1311,,,9705.176041710625,5178.4483738808585,3869
109,8,101.48070407300827,35.53439759742861,101.283687082,35.9770027397,strike-slip,1311,,,9715.368988435472,5168.255427156014,4355
110,9,101.64209239612579,35.35602102977239,101.837444866,35.1080395588,strike-slip,1311,,,9754.102185989874,5125.445050911672,3564
111,9,101.80348071924332,35.23710331800158,101.837444866,35.1080395588,strike-slip,1311,,,9792.83538354428,5096.904800082111,3711
112,9,101.84595133059004,35.075714994884045,101.837444866,35.1080395588,strike-slip,1311,,,9803.028330269122,5058.1716025277055,3752
113,9,101.87992781966742,34.89733842722783,101.837444866,35.1080395588,strike-slip,1311,,,9811.182687648996,5015.361226283364,3959
114,9,101.87992781966742,34.77842071545701,101.837444866,35.1080395588,strike-slip,1311,,,9811.182687648996,4986.820975453801,3843
115,10,98.66914960185547,36.978398383217055,99.1497787118,36.2242070929,strike-slip,1311,,,9040.595915250835,5514.8156158006905,3228
116,10,98.8135496804343,36.87646891598493,99.1497787118,36.2242070929,strike-slip,1311,,,9075.251934115302,5490.352543661066,3282
117,10,98.85602029178104,36.80851593783018,99.1497787118,36.2242070929,strike-slip,1311,,,9085.444880840147,5474.043828901317,3162
118,10,98.88150265858906,36.68959822605937,99.1497787118,36.2242070929,strike-slip,1311,,,9091.56064887505,5445.503578071755,3203
119,10,99.03439685943725,36.48573929159512,99.1497787118,36.2242070929,strike-slip,1311,,,9128.25525708449,5396.577433792508,4043
120,10,99.16180869347741,36.19693913443743,99.1497787118,36.2242070929,strike-slip,1311,,,9158.83409725902,5327.265396063573,4178
121,10,99.31470289432559,35.89115073274105,99.1497787118,36.2242070929,strike-slip,1311,,,9195.528705468454,5253.8761796447,4533
122,10,99.39964411701904,35.610844697852706,99.1497787118,36.2242070929,strike-slip,1311,,,9215.914598918143,5186.602731260733,4319
123,10,99.45060885063509,35.45795049700452,99.1497787118,36.2242070929,strike-slip,1311,,,9228.146134987954,5149.908123051297,4485
124,10,99.45060885063509,35.36451515204173,99.1497787118,36.2242070929,strike-slip,1311,,,9228.146134987954,5127.483640256641,3865
125,11,98.14251402115615,37.89576358830619,98.3055137957,37.4984425364,strike-slip,1311,,,8914.203375862775,5734.98326505731,4390
